category,min #req, max #req, avg #req, min #GET, max #GET, avg. #GET, min GET%, max GET%, avg GET%
ART_AND_DESIGN ,4,14,8.333333333,1,12,6.666666667,25,100,70.23809524
AUTO_AND_VEHICLES ,4,6,4.75,0,6,3,0,100,56.25
BEAUTY ,4,1243,220.3333333,4,1243,220,66.66666667,100,94.44444444
BOOKS_AND_REFERENCE ,4,108,27.9375,1,108,21.875,10,100,71.58795771
BUSINESS ,4,87,17.23529412,0,77,10.11764706,0,100,56.29130884
COMICS ,4,319,59.57894737,3,263,54,41.66666667,100,86.65579472
COMMUNICATION ,4,96,19,2,49,10.625,50,100,64.46101641
DATING ,5,334,78.83333333,2,47,12.83333333,0.898203593,88.67924528,42.49571238
EDUCATION ,4,62,15.05882353,1,60,12.76470588,9.090909091,100,66.73276804
ENTERTAINMENT ,6,134,30.72727273,3,130,29,50,100,87.70015518
EVENTS ,11,53,22.2,9,53,19.8,45,100,87.18181818
FINANCE ,5,150,35.59259259,0,122,22.77777778,0,100,69.00389177
FOOD_AND_DRINK ,4,188,33.46153846,2,144,22.76923077,15.78947368,100,60.77254613
GAMING ,4,59,18,0,38,11,0,94.44444444,54.91716158
HEALTH_AND_FITNESS ,4,14,8.133333333,0,14,5.266666667,0,100,66.47069597
HOUSE_AND_HOME ,4,149,55.375,3,149,50.75,16.66666667,100,79.9625949
LIBRARIES_AND_DEMO ,22,22,22,15,15,15,68.18181818,68.18181818,68.18181818
LIFESTYLE ,4,82,21,0,82,18.91666667,0,100,70.08986928
MAPS_AND_NAVIGATION ,8,206,54.875,3,182,35.75,25,95.45454545,54.44669474
MEDICAL ,4,63,14,1,39,7.7,4,100,64.50714286
MUSIC_AND_AUDIO ,5,44,16.14285714,0,23,8.357142857,0,100,63.5180676
NEWS_AND_MAGAZINES ,4,802,70.88461538,1,802,65,6.060606061,100,78.65968221
PARENTING ,4,28,12,2,7,4.4,14.28571429,100,57.85714286
PERSONALIZATION ,6,288,82.72727273,4,286,70.45454545,18.51851852,100,72.02241139
PHOTOGRAPHY ,4,58,23,1,55,20.42857143,25,100,82.12202388
PRODUCTIVITY ,4,119,22.66666667,0,102,14.08333333,0,100,56.23836161
SHOPPING ,4,198,44.13636364,0,174,34.45454545,0,100,69.31814018
SOCIAL ,4,108,20.34782609,1,106,15.56521739,7.692307692,100,58.19409136
SPORTS ,7,146,45.66666667,1,138,42,11.11111111,100,81.96190001
TOOLS ,4,130,21.4375,0,121,13.5625,0,100,43.75891079
TRAVEL_AND_LOCAL ,4,208,32.11111111,0,166,18.18518519,0,100,62.18326397
VIDEO_PLAYERS ,4,134,33.625,0,73,14.75,0,100,67.80172414
WEATHER ,7,123,36.16666667,2,112,31.08333333,22.22222222,100,76.89012459
