sep=;
#reqs before duplication removal: 182
#reqs after duplication removal: 5
Sending all requests: 2018-04-14 09:47:59
Sleeping for 10 seconds
Sending round 2 of requests at 2018-04-14 09:48:09
Sleeping for 20 seconds
Sending round 3 of requests at 2018-04-14 09:48:29
Sleeping for 30 seconds
Sending round 4 of requests at 2018-04-14 09:48:59
url;changed after 10s;changed after 30s;changed after 60s;response time;expires;cacheControl;expires reliable;cacheControl reliable
https://api.groupon.com/status?experiments=true&version_number=17.5.92701&device_id=cfdea955-075e-32ac-b4eb-e4d90de0402a&client_version_id=17.5.92701&client_id=7d019520f891fe02626ea5b514e7ee3d&division_id=&experiment_app=android-consumer-17.5&lang=en&client_version=android-consumer-us&country=DE;False;False;False;142627;None;['None'];N/A;N/A
https://api.groupon.de/api/mobile/countries?referrer=&device_id=b083feaa75293926&client_version_id=17.5.92701&client_id=7d019520f891fe02626ea5b514e7ee3d&lang=en;False;False;False;380811;None;['None'];N/A;N/A
https://api.groupon.de/api/mobile/AR/divisions?show_areas=true&lang=en&client_version_id=17.5.92701&client_id=7d019520f891fe02626ea5b514e7ee3d;False;False;False;228038;None;['None'];N/A;N/A
https://api.groupon.de/api/mobile/DE/divisions?show_areas=true&lang=en&client_version_id=17.5.92701&client_id=7d019520f891fe02626ea5b514e7ee3d;False;False;False;160316;None;['None'];N/A;N/A
https://api.groupon.com/status?experiments=true&version_number=17.5.92701&device_id=cfdea955-075e-32ac-b4eb-e4d90de0402a&client_version_id=17.5.92701&client_id=7d019520f891fe02626ea5b514e7ee3d&division_id=&experiment_app=android-consumer-17.5&lang=en&client_version=android-consumer-us&country=AR;False;False;False;24336;None;['None'];N/A;N/A
Finished all processing all requests at 2018-04-14 09:49:00
total num urls: 5
% expire urls: 0.0
% reliable expire urls: N/A
% cachecontrol urls: 0.0
% reliable cachecontrol urls: N/A
