total apps: 8,,,,,,,,,,
Total number of requests: 9,,,,,,,,,,
Total number of GET requests: 5,,,,,,,,,,
Percentage of GET requests: 55.55555555555556%,,,,,,,,,,
Average number of requests per app: 1.125,,,,,,,,,,
Average number of GET requests per app: 0.625,,,,,,,,,,
Average number of expire requests: 3,,,,,,,,,,
Percentage of expire requests: 33.333333333333336%,,,,,,,,,,
Average number of expire requests per app: 0.375,,,,,,,,,,
Average data length per request: 79.66666666666667,,,,,,,,,,
Exceptions: 0,,,,,,,,,,
,,,,,,,,,,
prefix,id,body,stmt,urlString,isDoOutput,length,cacheControl,expires,age,setCookie,,,
"I/System.out(11665): URLConn","0","<com.facebook.x: java.util.List a(java.net.HttpURLConnection,com.facebook.u)>","$r3 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.3/1602663863279678?fields=supports_implicit_sdk_logging%2Cgdpv4_nux_content%2Cgdpv4_nux_enabled%2Candroid_dialog_configs%2Candroid_sdk_error_categories&format=json&sdk=android","false","Not found","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out(11665): URLConn","1","<com.facebook.x: java.util.List a(java.net.HttpURLConnection,com.facebook.u)>","$r3 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.3/1602663863279678/activities?format=json&sdk=android","true","16","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out(11665): URLConn","2","<com.coupons.mobile.foundation.loader.LFLoader$LoadURLAsyncTask: java.lang.Object a(com.coupons.mobile.foundation.loader.LFHttpUrlRequest[])>","$r17 = virtualinvoke $r14.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","http://lh.coupons.net/bcn?action=id&idfa=3ae8f2f4-1b58-4ed6-816b-3ee6c7e3745e&os=Android&product=CouponsApp&uid=0&did=5d8e92f9b35a4c9791667cb011074282","false","0","no-cache","Not found","0","Not found"
"I/System.out(12832): URLConn","0","<com.urbanairship.http.Request: com.urbanairship.http.Response execute()>","$r18 = virtualinvoke $r8.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://device-api.urbanairship.com/api/channels/","true","63","Not found","Not found","Not found","Not found"
"I/System.out(12832): URLConn","1","<com.urbanairship.http.Request: com.urbanairship.http.Response execute()>","$r18 = virtualinvoke $r8.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://device-api.urbanairship.com/api/user/","true","397","no-cache, no-store, must revalidate","Not found","Not found","Not found"
"I/System.out(13083): URLConn","0","<com.facebook.GraphResponse: java.util.List fromHttpConnection(java.net.HttpURLConnection,com.facebook.GraphRequestBatch)>","$r3 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.5/860992623979486?fields=supports_implicit_sdk_logging%2Cgdpv4_nux_content%2Cgdpv4_nux_enabled%2Candroid_dialog_configs%2Candroid_sdk_error_categories&format=json&sdk=android","false","Not found","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out(13083): URLConn","1","<com.flurry.sdk.fc: void q()>","$r23 = virtualinvoke $r4.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://data.flurry.com/aap.do","true","Not found","Not found","Not found","0","Not found"
"I/System.out(13482): URLConn","0","<net.hockeyapp.android.d.a: org.json.JSONArray a()>","$r7 = virtualinvoke $r5.<java.net.URLConnection: java.io.InputStream getInputStream()>()","https://sdk.hockeyapp.net/api/2/apps/d13259c95a0a44508d6479c605ca9ca2?format=json&udid=b083feaa75293926&os=Android&os_version=4.4.2&device=SM-G955N&oem=samsung&app_version=415&sdk=HockeySDK&sdk_version=3.0.2&lang=en&usage_time=0","false","2","max-age=0, private, must-revalidate","Not found","Not found","request_method=GET; path=/"
"I/System.out(13482): URLConn","1","<com.localytics.android.BaseUploadThread: boolean upload(com.localytics.android.BaseUploadThread$UploadType,java.lang.String,java.lang.String,int,boolean)>","$r35 = virtualinvoke $r18.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://analytics.localytics.com/api/v2/applications/f947945a552ab7c1fbd7bcd-ecbd3a2c-6534-11e4-27b9-004a77f8b47f/amp","false","0","no-cache, no-store, max-age=0","Not found","Not found","Not found"
,,,,,,,,,,
package,numRequests,,,,,,,,,,
com.coupons.ciapp.logs.txt,3,,,,,,,,,,
com.dollargeneral.android.logs.txt,0,,,,,,,,,,
com.geekslab.qrbarcodescanner.pro.logs.txt,0,,,,,,,,,,
com.kohls.mcommerce.opal.logs.txt,2,,,,,,,,,,
com.rosegal.logs.txt,2,,,,,,,,,,
com.whaleshark.retailmenot.logs.txt,0,,,,,,,,,,
com.wishabi.flipp.logs.txt,2,,,,,,,,,,
rs.intellex.slickguns.logs.txt,0,,,,,,,,,,
